Column1,Column2,Column3,Column4,Column5,Column6
nm0037530,Yves Arseneau,1973,\N,"camera_department,actor,cinematographer","tt3672742,tt0324554,tt0180052,tt0164184"
nm0037559,Yana Arshavskaya,1975,\N,actress,"tt0230558,tt8291918,tt0495894,tt12557088"
nm0037717,Joseph Arthur,1972,\N,"composer,actor,music_department","tt0258463,tt0145681,tt0332375,tt0256380"
nm0038003,Liron Artzi,1975,\N,"producer,director,actor","tt1189432,tt8260910,tt9684756,tt0129992"
nm0038114,Leontine Arvidsson,1974,\N,"director,actress,writer","tt2660424,tt2718196,tt0120263,tt0347457"
nm0038120,Elena Arvigo,1974,\N,"actress,production_designer","tt0879870,tt11313452,tt8071864,tt10345782"
nm0038227,Aracely Arámbula,1975,\N,"actress,soundtrack,archive_footage","tt0337742,tt0233092,tt20358106,tt1522468"
nm0038258,Ana Paula Arósio,1975,\N,"actress,archive_footage","tt0757116,tt1735853,tt0163450,tt0456117"
nm0038324,Yu Asakawa,1975,\N,"actress,music_department","tt0175385,tt0376208,tt0872270,tt0279570"
nm0038338,Junko Asamiya,1975,\N,actress,"tt0187171,tt0190479,tt0183256,tt4007346"
nm0038355,Tadanobu Asano,1973,\N,"actor,director,composer","tt0416044,tt1440129,tt3501632,tt0800369"
nm0038360,Anvar Asanov,1971,\N,actor,"tt0156836,tt0170114,tt4203178,tt0086462"
nm0038375,Mirei Asaoka,1971,\N,actress,"tt0280276,tt2827698,tt0104874,tt8629756"
nm0038456,Filberto Ascencio,1973,\N,"actor,make_up_department","tt0263657,tt0238639,tt0198385"
nm0038475,Kevin Asch,1975,\N,"director,producer,writer","tt1143896,tt3793196,tt0203230,tt1906384"
nm0038548,Josefine van Asdonk,1974,\N,"actress,archive_footage","tt0115189,tt0393321,tt0250154,tt0302220"
nm0038560,Jeff Knite,1975,\N,"producer,writer,director","tt24989938,tt8735866,tt5997866,tt3529662"
nm0038604,Árni Ólafur Ásgeirsson,1972,2021,"writer,director,assistant_director","tt0805324,tt1282135,tt0407531,tt13405570"
nm0038741,Louise Ashby,1971,\N,actress,"tt0129028,tt13242792,tt0135079,tt0108894"
nm0038854,William Rosenfeld,1973,\N,"producer,actor,writer","tt14577874,tt9731682,tt0308152,tt11908172"
nm0038875,John Asher,1971,\N,"director,writer,actor","tt1401621,tt0167423,tt0368530,tt2749258"
nm0038918,Kate Ashfield,1972,\N,"actress,writer,producer","tt0365748,tt0250491,tt0294357,tt0202381"
nm0038968,Anna Ashimova,1973,\N,actress,tt0083730
nm0038996,Brittany Ashland,1972,\N,"actress,archive_footage","tt0099665,tt0181160,tt0107894,tt0178588"
nm0039028,Brooke Ashley,1973,\N,"actress,camera_department,archive_footage","tt0287296,tt0180135,tt0152769,tt0137673"
nm0039064,Jay Ashley,1971,\N,"actor,director,miscellaneous","tt0333804,tt0349108,tt0160273,tt0293817"
nm0039073,Kaitlyn Ashley,1971,\N,"actress,writer,make_up_department","tt0128475,tt0127098,tt0135202,tt0109097"
nm0039074,Karan Ashley,1975,\N,"actress,producer,writer","tt0113820,tt0106064,tt0449004,tt23219684"
nm0039402,Cecilie A. Mosli,1973,\N,"actress,director,writer","tt2377081,tt1536537,tt2226437,tt10147580"
nm0039512,Martin Aslan,1973,\N,actor,"tt16288804,tt9204142,tt1790024,tt14278524"
nm0039532,Alyosha Aslanyants,1975,\N,actor,tt0251785
nm0039578,Troels Asmussen,1973,\N,"actor,miscellaneous,camera_department","tt0243862,tt0273326,tt0093713,tt0097890"
nm0039611,Frida Asp,1974,\N,"producer,production_manager,actress","tt1139797,tt0338309,tt0997023,tt0446316"
nm0039623,Mauricio Aspe,1973,\N,actor,"tt0430839,tt0211791,tt1389603,tt12536776"
nm0039641,Charlene Aspen,1973,\N,"actress,camera_department,archive_footage","tt1116926,tt0306790,tt1343922,tt2847418"
nm0039661,Tobias Asphaug,1972,\N,"actor,editorial_department,miscellaneous","tt0383184,tt0129225,tt0331660,tt0081592"
nm0039665,Vanessa Aspillaga,1972,\N,"actress,archive_sound","tt1126618,tt12747748,tt0758752,tt5503686"
nm0039731,Lil Ass,1975,\N,"actress,archive_footage","tt0171113,tt0171329,tt0161103,tt0171731"
nm0039775,Aditya Assarat,1972,\N,"director,writer,producer","tt1135992,tt0269572,tt1504482,tt0352993"
nm0039811,Jason Asselta,1971,\N,"director,producer,miscellaneous","tt0118780,tt0226334,tt1413234"
nm0039866,Miguel Assis,1972,\N,actor,"tt0114452,tt0473590,tt1920365,tt0391666"
nm0039873,Sergio Assisi,1972,\N,"actor,writer,director","tt4024536,tt0886450,tt29313511,tt0168780"
nm0039916,Fábio Assunção,1971,\N,"actor,archive_footage","tt0385387,tt0985073,tt1584209,tt0138257"
nm0040015,Mackenzie Astin,1973,\N,"actor,soundtrack,archive_footage","tt4254242,tt1837576,tt0110157,tt0078610"
nm0040024,Greg Astles,1975,\N,visual_effects,"tt10418662,tt0409459,tt5246700,tt1509767"
nm0040038,Barry Atsma,1972,\N,"actor,writer,producer","tt1959563,tt1606789,tt2513536,tt1365474"
nm0040210,Ayumi Asô,1974,\N,"actress,archive_footage","tt0111919,tt0154968,tt4677958,tt0202366"
nm0040226,Hande Ataizi,1973,\N,"actress,archive_footage","tt0271654,tt0846614,tt14417286,tt0275512"
nm0040438,Marc Atherfold,1972,\N,"camera_department,visual_effects","tt1735898,tt0206634,tt0434409,tt0118661"
nm0040531,Nataly Attiya,1975,\N,actress,"tt1374988,tt12819234,tt0310477,tt0162717"
nm0040543,Stuart Atkin,1973,\N,actor,"tt0103529,tt0108709,tt0088580,tt0101129"
nm0040588,Emma Atkins,1975,\N,"actress,archive_footage","tt0068069,tt1722623,tt0096555,tt0101114"
nm0040591,Essence Atkins,1972,\N,"actress,producer,director","tt2243537,tt0278488,tt7690554,tt1544603"
nm0040607,Holly Atkins,1973,\N,actress,"tt1711498,tt1351784,tt0862620,tt0913553"
nm0040653,Sharif Atkins,1975,\N,"actor,director,producer","tt0108757,tt7608028,tt2015381,tt0389564"
nm0040704,Delroy Atkinson,1975,\N,"actor,soundtrack","tt1790809,tt7846844,tt11514780,tt5151570"
nm0040753,Kate Atkinson,1972,\N,"actress,archive_footage","tt2433738,tt0138785,tt0304229,tt0108709"
nm0040774,Michelle Atkinson,1974,\N,"actress,director,writer","tt0433362,tt0963794,tt2133353,tt0279556"
nm0040780,Nick Atkinson,1971,\N,"actor,producer","tt11151916,tt0264792,tt0312210,tt0118270"
nm0041009,Vittorio Attene,1971,\N,actor,"tt0200192,tt0174931,tt0418018,tt9503704"
nm0041182,Dana Seltzer,1972,\N,actress,"tt1666186,tt0119468,tt0799949,tt0466342"
nm0041280,Remy Auberjonois,1974,\N,"actor,producer,director","tt3838802,tt0977855,tt0963178,tt0465538"
nm0041458,Sophie Aubry,1974,\N,"actress,director,writer","tt0136444,tt1175676,tt0113249,tt0099162"
nm0041522,Nadia Auda,1972,\N,actress,"tt0190193,tt3892996,tt0445063,tt0363822"
nm0041542,Alexandra Auder,1971,\N,"actress,producer,writer","tt0093186,tt0114011,tt2004402,tt0102316"
nm0041744,Melissa Auf der Maur,1972,\N,"actress,producer,composer","tt0294357,tt1352392,tt1555058,tt0138501"
nm0041769,Kaarina Aufranc,1974,\N,"actress,writer,producer","tt0303773,tt0339756,tt0118276,tt0446554"
nm0041790,Aaron Augenblick,1975,\N,"producer,animation_department,director","tt5341494,tt28511506,tt12989188,tt5066212"
nm0042019,Éva Auksz,1971,\N,actress,"tt0281154,tt0835876,tt9081558,tt33131476"
nm0042200,Aurora Cortez,1975,\N,"actress,archive_footage","tt0275598,tt0302825,tt5022942,tt0303044"
nm0042212,Trond Fausa,1972,\N,"actor,director,soundtrack","tt0808185,tt0857353,tt0780621,tt15398776"
nm0042251,Oliver Auspitz,1975,\N,"producer,actor","tt9179616,tt5833846,tt1153095,tt5672212"
nm0042254,Élyse Aussant,1975,\N,actress,"tt1734326,tt7477812,tt0318171,tt19369182"
nm0042279,Crystal Von Oesen,1975,\N,miscellaneous,"tt0167720,tt0134247,tt0168327,tt0115083"
nm0042312,Aaron Austin,1971,\N,"actor,archive_footage","tt0291281,tt0280004,tt0132792,tt5467436"
nm0042355,Craig Austin,1973,\N,"miscellaneous,actor,producer","tt0471042,tt7286456,tt11691774,tt2741602"
nm0042531,Teddi Austin,1972,\N,"actress,archive_footage","tt0197653,tt0197627,tt0184247,tt0136148"
nm0042572,Jason Autajay,1971,\N,"miscellaneous,actor","tt0114194,tt0109099,tt0108334,tt0068098"
nm0042862,Delano Avelar,1972,\N,actor,"tt0366046,tt0246398,tt0439917,tt0155443"
nm0042971,Maksim Averin,1975,\N,"actor,director","tt4195034,tt1476589,tt1620464,tt4217060"
nm0043002,Alex Avery,1971,\N,actor,"tt4909752,tt4173174,tt1046947,tt5710996"
nm0043013,Brian Avery,1973,\N,"stunts,actor,assistant_director","tt3890160,tt1950186,tt1055369,tt2660888"
nm0043021,Ché J. Avery,1971,\N,actor,tt0107840
nm0043118,Oron Avidan,1974,\N,actor,"tt0143266,tt1405737"
nm0043384,Mira Awad,1975,\N,"actress,writer,composer","tt2131698,tt0476643,tt0904447,tt1559042"
nm0043411,Urara Awata,1974,\N,actress,"tt0403965,tt1491939,tt2015512,tt4384088"
nm0043545,Axinia,1971,\N,"actress,archive_footage","tt0161340,tt0161268,tt13345640,tt22474108"
nm0043704,Nicki Aycox,1975,2022,"actress,composer,archive_footage","tt0457433,tt0301470,tt0443701,tt0204993"
nm0043720,Iclal Aydin,1971,\N,"actress,writer","tt0270053,tt0470883,tt0834023,tt16259122"
nm0043724,Turgay Aydin,1971,\N,actor,"tt0216986,tt0878797,tt0488400,tt5777808"
nm0043778,Ethan Michael Ayers,1973,\N,"actor,archive_footage","tt0281020,tt0283081,tt0284126,tt0258663"
nm0043855,Reiko Aylesworth,1972,\N,"actress,director,producer","tt0758730,tt0285331,tt0780571,tt2070791"
nm0044028,J. Ayscue,1971,\N,"editorial_department,editor,actor","tt0181486,tt0363307,tt3484274,tt1361919"
nm0044073,Lubna Azabal,1973,\N,"actress,archive_footage","tt1255953,tt1372686,tt0758774,tt17679584"
nm0044142,David Azcano,1971,\N,"cinematographer,camera_department","tt6468322,tt17005188,tt8690776,tt22816510"
nm0044299,Nasha Aziz,1971,\N,"actress,producer","tt0997258,tt0418253,tt0270226,tt1669201"
nm0044310,Myriam Aziza,1971,\N,"director,writer,cinematographer","tt0199873,tt3569688,tt0400964,tt0247629"
nm0044322,Nina Azizi,1974,\N,"actress,archive_footage","tt1571222,tt0108977,tt0125644,tt0118479"
nm0044474,Richard Azurdia,1974,\N,"actor,sound_department,miscellaneous","tt2312036,tt0439100,tt0859760,tt0446082"
nm0044587,Heather B.,1971,\N,"actress,writer,composer","tt0112819,tt3322314,tt2097343,tt2415158"
nm0044617,Inday Ba,1972,2005,"actress,archive_footage","tt0120483,tt1511543,tt0096555,tt0288263"
nm0044786,Megan Babb,1974,\N,casting_director,tt0177255
nm0045092,Frederik Babucke,1975,\N,actor,"tt0103434,tt0103487"
nm0045160,Bethany Babyak,1972,\N,miscellaneous,"tt0120749,tt0131325,tt0114720"
nm0045209,Michael Bacall,1973,\N,"actor,writer,producer","tt0361748,tt0446029,tt1028528,tt1232829"
nm0045322,Jillian Bach,1973,\N,actress,"tt0163651,tt1135503,tt1196946,tt0413573"
nm0045377,Carmit Bachar,1974,\N,"actress,producer,soundtrack","tt0305357,tt0337563,tt0343135,tt0302640"
nm0045388,Marat Basharov,1974,\N,"actor,soundtrack","tt0374298,tt0246119,tt4187590,tt1234435"
nm0045480,James Bachman,1972,\N,"actor,writer,director","tt2109248,tt0499410,tt0760141,tt1294081"
nm0045491,Balz Bachmann,1971,\N,"composer,music_department,actor","tt0388205,tt0466227,tt1556690,tt7734566"
nm0045531,Wiebke Bachmann,1974,\N,actress,"tt0939821,tt0234805,tt0806910,tt0261804"
nm0045578,Arun Bacia,1971,\N,actor,tt0090417
nm0045698,Jimmy Backman,1973,\N,actor,"tt0120451,tt9677638,tt0176953,tt6510954"
nm0045820,Richard Bacon,1975,\N,"producer,writer,actor","tt15051378,tt13434218,tt11127158,tt2309262"
nm0045877,Tünde Bacskó,1973,\N,actress,"tt0141116,tt14796716,tt0464955,tt27788968"
nm0045900,Suzette Bacó,1971,\N,actress,"tt0239938,tt9604422,tt5241598,tt0430011"
nm0045901,Bad Azz,1975,2019,"actor,soundtrack,archive_footage","tt0293815,tt0117891,tt1780786,tt0270487"
nm0045924,Peter Donald Badalamenti II,1973,\N,"actor,stunts,archive_footage","tt3949660,tt0421715,tt0449088,tt0172156"
nm0046050,Nicolai Bader,1975,\N,"producer,production_manager","tt0251364,tt0190448,tt0193034,tt0180537"
nm0046169,Saar Badishi,1971,\N,"actor,soundtrack","tt0186754,tt0143266,tt0143252,tt0431527"
nm0046267,Jolana Badzová,1975,\N,actress,tt0240249
nm0046303,Sean Baek,1972,\N,actor,"tt3952222,tt1183865,tt5745228,tt9288030"
nm0046411,Kyoko Baertsoen,1974,\N,actress,tt0278475
nm0046413,Joshua Baerwald,1971,\N,"miscellaneous,writer,producer","tt3531770,tt3525504,tt0111910,tt1810710"
nm0046469,Paloma Baeza,1975,\N,"actress,director,writer","tt0448134,tt11703050,tt6652232,tt0115387"
nm0046538,Bryan Bagby,1975,\N,"writer,director,editor","tt2028582,tt3886612,tt1390852"
nm0046541,Larry Bagby,1974,\N,"actor,producer,composer","tt0107120,tt0970416,tt0358273,tt0373283"
nm0046563,Raffi Bagdasarian,1975,\N,"producer,director,writer","tt0479003,tt1166089,tt0381224,tt0218583"
nm0046621,Alley Baggett,1973,\N,actress,"tt0112206,tt0257324,tt0162110,tt0081857"
nm0046715,Lorri Bagley,1973,\N,actress,"tt0327162,tt0162710,tt0268380,tt0114694"
nm0046813,Theresa G. Baguio,1975,\N,"miscellaneous,assistant_director,producer","tt0144117,tt0237344,tt0154147,tt0353670"
nm0046843,Ilknur Bahadir,1972,\N,actress,"tt6175802,tt0286204,tt0806910,tt0847709"
nm0046928,Meicke Bahnsen,1973,\N,actress,"tt0170407,tt0318251,tt5194504,tt1024870"
nm0047063,Petter Baiestorf,1975,\N,"director,producer,writer","tt4666242,tt3311312,tt13340076,tt33508279"
nm0047099,Lulu Bail,1971,\N,actress,"tt32341604,tt0806901,tt0305095,tt0119335"
nm0047123,Aaron Bailey,1971,\N,\N,"tt0103520,tt0180954,tt0177998"
nm0047216,Darby Bailey,1971,\N,"actress,music_department,director","tt26007248,tt0164114,tt14286578,tt1541814"
nm0047288,J. Thomas Bailey,1974,\N,"actor,miscellaneous","tt0119668,tt0134645,tt8416494,tt1430811"
nm0047300,Jason Bailey,1975,\N,"director,writer,producer","tt0159587,tt0395667,tt0223143,tt0162180"
nm0047362,Laura Bailey,1972,\N,"actress,producer","tt0117057,tt0118734,tt0352118,tt28800760"
nm0047418,Amira Bailey,1975,\N,"producer,location_management,miscellaneous","tt0304415,tt0364961,tt1873921,tt3920548"
nm0047422,Nicholas R. Bailey,1971,\N,"actor,archive_footage","tt1638319,tt0088512,tt0795422,tt0358422"
nm0047477,Ryan Bailey,1975,\N,"camera_department,cinematographer,assistant_director","tt0296572,tt0770828,tt0460780,tt0970416"
nm0047504,Steven W. Bailey,1971,\N,"actor,archive_footage","tt0118276,tt0413573,tt1837576,tt0131537"
nm0047821,Mauricio Baiocchi,1974,\N,"visual_effects,special_effects,director","tt0346156,tt1276104,tt0167190,tt1408101"
nm0047875,Iain Baird,1971,\N,"camera_department,director","tt9288030,tt1132290,tt6160506,tt2306299"
nm0047987,Ning Baizura,1975,\N,actress,"tt0270226,tt0270495,tt0119184,tt1066433"
nm0048076,Arben Bajraktaraj,1973,\N,"actor,producer","tt0936501,tt0926084,tt0373889,tt29347034"
nm0048083,Anna Banshchikova,1975,\N,actress,"tt2700194,tt0477349,tt0271242,tt0108421"
nm0048159,Ariyon Bakare,1971,\N,"actor,director,writer","tt5442430,tt0468569"
nm0048216,Allison Baker,1974,\N,"miscellaneous,director,producer","tt0133751,tt0227538,tt0338459,tt0401792"
nm0048416,Ed Baker,1973,\N,"art_department,producer,animation_department","tt0371746,tt1077258,tt0424774,tt0449088"
nm0048556,Jay Baker,1973,\N,"art_department,animation_department,visual_effects","tt6741278,tt0119282,tt0230011,tt0780521"
nm0048570,Jeremy Becker,1971,\N,"camera_department,editorial_department,producer","tt0454941,tt0434313,tt0131327,tt0139394"
nm0048614,Joshua A. Baker,1975,\N,"location_management,miscellaneous,art_department","tt0265349,tt0185014,tt0250636,tt0213113"
nm0048687,Leigh-Allyn Baker,1972,\N,"actress,director,producer","tt1415889,tt0157246,tt2219622,tt0203946"
nm0048840,Rae Baker,1974,\N,"actress,soundtrack","tt3573598,tt0269356,tt0084987,tt0350386"
nm0048967,Thomas Baker,1974,\N,actor,tt0218545
nm0049085,Zeba Bakhtiar,1971,\N,"actress,director,producer","tt0121352,tt3395608,tt0237095,tt0111303"
nm0049121,Håvard Bakke,1974,\N,actor,"tt0099479,tt0106443,tt0104338,tt0371589"
nm0049138,Michael Bakkensen,1974,\N,actor,"tt5788792,tt2149175,tt3501074,tt6066378"
nm0049146,Femke Bakker,1972,\N,"actress,writer","tt0274466,tt0197143,tt30325173,tt0106167"
nm0049187,Elwon Bakly,1975,\N,actor,"tt21158982,tt15226268,tt0206893,tt0776740"
nm0049229,Janus Nabil Bakrawi,1974,\N,"actor,writer,location_management","tt0170407,tt0383164,tt0826760,tt1295041"
nm0049289,Pascale Bal,1971,\N,"actress,director,writer","tt0160027,tt0396007,tt0190874,tt0217221"
nm0049294,Vincent Bal,1971,\N,"director,writer,actor","tt1441083,tt0130514,tt0272326,tt0180817"
nm0049315,Lirit Balaban,1971,\N,actress,"tt0904106,tt0358925,tt21404286,tt10388572"
nm0049346,Patrick Baladi,1971,\N,"actor,archive_footage","tt0963178,tt0290978,tt1979320,tt1937264"
nm0049377,Alexandra Balahoutis,1974,\N,"actress,costume_department","tt0368891,tt0118880,tt0099371,tt0187078"
nm0049592,Marius Vaysberg,1971,\N,"director,producer,writer","tt6823698,tt0303361,tt28618654,tt0105812"
nm0049598,Ericson Balcita,1971,\N,actor,tt0118766
nm0049599,Britta Balcke,1971,\N,make_up_department,"tt3499096,tt12536294,tt0207198,tt3645988"
nm0049633,Kyle Balda,1971,\N,"animation_department,director,visual_effects","tt5113044,tt3469046,tt2293640,tt1482459"
nm0049753,Clare Balding,1971,\N,"actress,archive_footage","tt9883996,tt2222382,tt1533435,tt8201142"
nm0049761,Maria-Elena Baldini,1975,\N,actress,tt0203047
nm0049819,Lola Baldrich,1971,\N,"actress,archive_footage","tt0115284,tt0223861,tt0115949,tt1024810"
nm0049843,Selma Baldursson,1974,\N,actress,"tt0108985,tt0294144,tt0121037,tt0103556"
nm0049998,Scott Baldwin,1971,\N,actor,"tt0258577,tt0281020,tt0281167,tt0291870"
nm0050032,Tomás Baldýnský,1972,\N,"writer,producer,actor","tt5894518,tt2654428,tt6385746,tt9375736"
nm0050040,Louise Bale,1972,\N,"actress,producer","tt0377753,tt0363553"
nm0050232,Shelby Balik,1971,\N,actress,"tt0082558,tt0078490,tt0084109,tt0080232"
nm0050247,Melissa Balin,1975,\N,"producer,miscellaneous,director","tt0438040,tt0338443,tt0120389,tt0215557"
nm0050276,Jeff Balis,1975,\N,"producer,miscellaneous,director","tt0348333,tt1020543,tt0133412,tt0469689"
nm0050282,Benjamin Balistreri,1972,\N,"animation_department,art_department,producer","tt2252938,tt29623480,tt0892769,tt0366005"
nm0050327,Dean Balkwill,1974,\N,actor,"tt2234155,tt0103442,tt2215285,tt0112111"
nm0050354,Craig Ball,1971,\N,actor,"tt2259197,tt0094481,tt0907831,tt0163924"
nm0050458,Sam Ball,1973,\N,"actor,writer,editor","tt0337563,tt0265591,tt0272020,tt2040560"
nm0050586,Amy Ballard,1971,\N,actress,"tt0256535,tt0116246,tt0141561,tt0245904"
nm0050681,Yoko Ballard,1973,\N,"animation_department,art_department","tt0442688,tt0164127,tt0245166,tt0134599"
nm0050688,Jorge Ballarin,1972,\N,"actor,director,writer","tt0318076,tt0291324,tt0806089"
nm0050722,Matthew Ballen,1975,\N,"producer,writer,director","tt3352390,tt0171804,tt10457304,tt2376342"
nm0050790,José Ballesteros,1972,\N,"actor,sound_department,miscellaneous","tt0337660,tt0387488,tt0219091,tt5352046"
nm0050857,Sara Ballingall,1972,\N,"actress,miscellaneous,archive_footage","tt0090417,tt0205501,tt27235184"
nm0050881,Matthias Ballmann,1975,\N,actor,tt0122439
nm0050959,Pedro Pascal,1975,\N,"actor,producer,soundtrack","tt3581920,tt8111088,tt4649466,tt0944947"
nm0051016,Vid Balog,1972,\N,actor,"tt12524686,tt1981645,tt0236090,tt1905003"
nm0051122,Janos Balczik,1974,\N,actor,"tt0236113,tt0240163"
nm0051150,Andreas Balslev-Olesen,1972,\N,"camera_department,location_management,script_department","tt0236027,tt0425379,tt0425314,tt1087861"
nm0051224,Charli Baltimore,1974,\N,"actress,soundtrack","tt1232776,tt0275688,tt0215545,tt1569931"
nm0051372,Bam,1974,\N,"actor,archive_footage","tt0397566,tt0433106,tt0440680,tt0419297"
nm0051426,Bambi,1972,\N,actress,"tt0133672,tt7789662,tt4538562,tt0294768"
nm0051439,Bamboo,1974,\N,"actress,archive_footage","tt0307452,tt15325498,tt1284534,tt5729950"
nm0051462,Ernst Bamert,1972,\N,actor,"tt1838495,tt0235171,tt0220701,tt0108832"
nm0051496,Andreas Ban,1973,\N,actor,"tt0115347,tt1008628,tt0986232"
nm0051610,Tristan Bancks,1974,\N,"actor,writer,director","tt0391460,tt0449624,tt0094481,tt15281256"
nm0051625,Darren Bancroft,1973,\N,actor,"tt3847626,tt0249285,tt0292502,tt2000441"
nm0051645,Victoria Bancroft,1975,\N,"make_up_department,special_effects","tt1735898,tt0206634,tt2015381,tt2382320"
nm0051681,Ramón Lluís Bande,1972,\N,"director,writer,editor","tt9327784,tt13550328,tt0232040,tt0796949"
nm0051730,Lara Bandilla,1973,\N,actress,"tt0105325,tt0156523,tt0112597,tt0094524"
nm0051794,Maggie Bandur,1974,\N,"producer,writer,miscellaneous","tt1439629,tt0212671,tt5924572,tt5083928"
nm0051900,Cathrine Bang,1974,\N,actress,"tt0129377,tt0104302,tt0304856,tt0491358"
nm0051939,Thomas Bangalter,1975,\N,"composer,actor,music_department","tt1104001,tt0800022,tt0120053,tt1386697"
nm0051947,Kristina Bangert,1972,\N,actress,"tt0759757,tt7233012,tt0806910,tt9179616"
nm0051972,Lance Bangs,1972,\N,"director,producer,cinematographer","tt1798709,tt1092026,tt0120601,tt14537248"
nm0052011,Marko Banicevic,1973,\N,"actor,assistant_director",tt0279248
nm0052035,Corelle Banjoman,1971,\N,actor,tt0108002
nm0052074,Hademar Bankhofer Jr.,1971,\N,actor,"tt0085026,tt0103454,tt1510724,tt0869645"
nm0052102,Bonnie Banks,1975,\N,"actress,archive_footage","tt0229356,tt0225237"
nm0052125,Cindy Morrow,1973,\N,"writer,art_department,miscellaneous","tt0175058,tt9628244,tt1751105,tt19872934"
nm0052353,Marc Bannerman,1973,\N,"actor,soundtrack,archive_footage","tt7737394,tt13270838,tt0260658,tt0461720"
nm0052358,Yasmin Bannerman,1972,\N,"actress,archive_footage","tt0250468,tt0478942,tt0436992,tt0112004"
nm0052462,Bettina Banoun,1972,\N,actress,"tt0092244,tt0108262,tt10846290,tt0276737"
nm0052508,Jeremy Banster,1973,\N,"actor,producer,director","tt32474994,tt27843471,tt21149984,tt2375211"
nm0052551,Buju Banton,1973,\N,"actor,composer,soundtrack","tt2382320,tt1502397,tt0108560,tt3411420"
nm0052579,Natalie Banus,1971,\N,actress,"tt0109850,tt0350293,tt0349484,tt0350292"
nm0052667,Hayden Baptiste,1974,\N,"producer,writer,actor","tt6687720,tt2219450,tt13318052,tt10332866"
nm0052777,Yannis Baraban,1972,\N,actor,"tt0945351,tt0338411,tt0199481,tt0904136"
nm0052841,Dorian Barag,1973,\N,actor,"tt0096554,tt0096661"
nm0052937,Chris Baran,1974,\N,actor,tt0255312
nm0053143,Arturo Barba,1973,\N,"actor,producer","tt0459127,tt5223624,tt8682608,tt0970166"
nm0053496,Ric Barbera,1973,\N,"actor,writer,producer","tt1523939,tt0475417,tt0925435,tt1560756"
nm0053508,Katie Barberi,1972,\N,"actress,archive_footage","tt27836519,tt32300326,tt2261391,tt21807222"
nm0053600,Anne Barbier,1973,\N,"casting_department,casting_director,writer","tt0119558,tt26594595,tt1397280,tt15067722"
nm0053672,Pablo Barbieri Carrera,1971,\N,"editor,sound_department,editorial_department","tt3011894,tt1057866,tt0454065,tt6522634"
nm0053772,Marcelo Barbosa,1975,\N,"music_department,camera_department,actor","tt2642050,tt1447660,tt0154958,tt0793360"
nm0053821,Gavin Barbour,1971,\N,actor,tt0168859
nm0054189,Carlos Bardasano,1973,\N,"producer,writer,production_manager","tt6607810,tt8682608,tt0222599,tt0321005"
nm0054280,Pavel Bardin,1975,\N,"director,writer,producer","tt1362118,tt1890415,tt0193220,tt32600290"
nm0054354,CeCe Christian,1972,\N,"actress,producer,writer","tt4514612,tt1601911,tt1555156,tt0120351"
nm0054411,Alessia Barela,1974,\N,"actress,writer","tt4703676,tt0329731,tt2297972,tt21800162"
nm0054456,Dan Barentine,1974,\N,"miscellaneous,camera_department,producer","tt0164184,tt0265087,tt1472584,tt0763840"
nm0054471,Pia Baresch,1974,\N,actress,"tt0461004,tt0242550,tt0110101,tt9209132"
nm0054504,Kasper Barfoed,1972,\N,"director,writer,producer","tt24948454,tt2378830,tt5180734,tt10834220"
nm0054573,Andrey Barilo,1973,\N,actor,"tt0120125,tt0104410,tt0459117,tt3781262"
nm0054622,Luigi Baricelli,1971,\N,"actor,producer","tt0840931,tt0380531,tt0312198,tt0202726"
nm0054645,Alexandre Barillari,1975,\N,actor,"tt2266319,tt1124062,tt21103650,tt16969032"
nm0054685,Tomás Barina,1974,\N,"director,writer,actor","tt0245094,tt1105753,tt7296480,tt0279982"
nm0054826,Arj Barker,1974,\N,"actor,writer,soundtrack","tt0863046,tt2322078,tt0473342,tt23182050"
nm0054939,Liz Barker,1975,\N,"actress,archive_footage","tt28486951,tt30490605,tt0795296,tt0181260"
nm0054950,Melissa Barker,1972,\N,"stunts,actress,archive_footage","tt0399201,tt1059786,tt0986263,tt0479884"
nm0055003,Travis Barker,1975,\N,"music_artist,actor,composer","tt0163651,tt1408253,tt8629748,tt0436339"
nm0055012,William Joseph Barker,1974,\N,"actor,miscellaneous,writer","tt27953923,tt0096694,tt0197148,tt0113982"
nm0055031,Louise Barkholt,1973,\N,"producer,visual_effects,editorial_department","tt0343818,tt0439815,tt0238552,tt0343449"
nm0055107,Dmitriy Barkov,1972,\N,actor,"tt0192936,tt21148438,tt1650387,tt2229470"
nm0055190,Annette Barlo,1974,\N,actress,"tt0098883,tt7349904,tt0096597,tt1741688"
nm0055194,Cory Barlog,1975,\N,"actor,writer,animation_department","tt5838588,tt0846694,tt1756534,tt1797530"
nm0055239,Gary Barlow,1971,\N,"music_artist,actor,composer","tt2802144,tt1509767,tt15009428,tt1270798"
nm0055264,Mary-Anne Barlow,1974,\N,actress,"tt0471251,tt13459400,tt0757127,tt0468536"
nm0055269,Nate Barlow,1975,\N,"producer,actor,miscellaneous","tt0371282,tt12629034,tt0282410,tt0245120"
nm0055283,Scott Barlow,1972,\N,"writer,director,actor","tt0238373,tt0265262,tt0299713"
nm0055307,Tom Barman,1972,\N,"composer,director,writer","tt0331175,tt5866718,tt0953318,tt3917318"
nm0055549,Christopher Daniel Barnes,1972,\N,"actor,soundtrack,archive_footage","tt0097757,tt0118073,tt0112572,tt0086886"
nm0055569,Derek Barnes,1971,\N,actor,tt0091642
